GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year,gen_inertia,Candidatas,Start_time,csp_tes_capacity_h
CSP_AricayParinacota_94_13h,CSP-TES,Parinacota220,0,1422.47619,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,8008.54095,True,2028,13
CSP_AricayParinacota_80_13h,CSP-TES,Parinacota220,0,373.095238,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,2100.52619,True,2028,13
CSP_Antofagasta_429_13h,CSP-TES,Lagunas220,0,1546.952381,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,8709.341905,True,2028,13
CSP_Atacama_1538_13h,CSP-TES,Cumbre500,0,152.6190477,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,859.245239,True,2028,13
CSP_Antofagasta_1425_13h,CSP-TES,Cumbre500,0,876.8095237,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,4936.437618,True,2028,13
CSP_Atacama_1503_13h,CSP-TES,Cumbre500,0,314.2380953,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,1769.160477,True,2028,13
CSP_Atacama_1511_13h,CSP-TES,Cumbre500,0,268.5714287,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,1512.057144,True,2028,13
CSP_Atacama_1531_13h,CSP-TES,Cumbre500,0,227.2857143,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,1279.618572,True,2028,13
CSP_Tarapaca_169_13h,CSP-TES,NuevaPozoAlmonte220,0,720.047619,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,4053.868095,True,2028,13
CSP_Antofagasta_509_13h,CSP-TES,Kimal500,0,1454.142857,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,8186.824285,True,2028,13
CSP_Antofagasta_693_13h,CSP-TES,Kimal500,0,662.5714287,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,3730.277144,True,2028,13
CSP_Atacama_1871_13h,CSP-TES,NuevaMaitencillo500,0,239.6190477,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,1349.055239,True,2028,13
CSP_Tarapaca_336_13h,CSP-TES,Lagunas220,0,371.8095237,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,2093.287618,True,2028,13
CSP_Coquimbo_1899_13h,CSP-TES,NuevaPandeAzucar500,0,55.80952367,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,314.207618,True,2028,13
CSP_AricayParinacota_76_13h,CSP-TES,Parinacota220,0,531.5238097,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,2992.479049,True,2028,13
CSP_Tarapaca_324_13h,CSP-TES,Lagunas220,0,302.2857143,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,1701.868572,True,2028,13
CSP_Tarapaca_332_13h,CSP-TES,Lagunas220,0,723.047619,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,4070.758095,True,2028,13
ESS_NuevaMaitencillo500_4h,Storage,NuevaMaitencillo500,0,10000,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,True,2024,.
ESS_NuevaCardones500_4h,Storage,NuevaCardones500,0,10000,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,True,2024,.
ESS_Parinas500_4h,Storage,Parinas500,0,10000,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,True,2024,.
ESS_Cumbre500_4h,Storage,Cumbre500,0,10000,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,True,2024,.
ESS_NuevaZaldivar220_4h,Storage,NuevaZaldivar220,0,10000,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,True,2024,.
ESS_LosChangos220_4h,Storage,LosChangos220,0,10000,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,True,2024,.
ESS_LosChangos500_4h,Storage,LosChangos500,0,10000,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,True,2024,.
ESS_NuevaCharrua500_4h,Storage,NuevaCharrua500,0,10000,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,True,2024,.
ESS_Lagunas220_4h,Storage,Lagunas220,0,10000,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,True,2024,.
ESS_NuevaPozoAlmonte220_4h,Storage,NuevaPozoAlmonte220,0,10000,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,True,2024,.
ESS_Parinacota220_4h,Storage,Parinacota220,0,10000,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,True,2024,.
ESS_AltoJahuel500_4h,Storage,AltoJahuel500,0,10000,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,True,2024,.
ESS_Kimal220_4h,Storage,Kimal220,0,10000,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,True,2024,.
