GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year,gen_inertia,Candidatas,Start_time,csp_tes_capacity_h
HidroC_GEN_Ancoa500,Hidro C,Ancoa500,0,20.48,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,51.2,"""Predeterminada""",2022,.
HidroC_GEN_NuevaCardones500,Hidro C,NuevaCardones500,0,3.0,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,7.5,"""Predeterminada""",2022,.
HidroB_GEN_Pichirropulli500,Hidro B,Pichirropulli500,0,202.4,.,0.0,50,.,0,0,1,0,0,Hidro B,.,.,.,.,.,.,.,506.0,"""Predeterminada""",2022,.
HidroC_GEN_Pichirropulli500,Hidro C,Pichirropulli500,0,62.08,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,155.2,"""Predeterminada""",2022,.
HidroC_GEN_NuevaMaitencillo500,Hidro C,NuevaMaitencillo500,0,5.1,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,12.75,"""Predeterminada""",2022,.
HidroB_GEN_Parinacota220,Hidro B,Parinacota220,0,10.14,.,0.0,50,.,0,0,1,0,0,Hidro B,.,.,.,.,.,.,.,25.35,"""Predeterminada""",2022,.
HidroC_GEN_Parinacota220,Hidro C,Parinacota220,0,0.5,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,1.25,"""Predeterminada""",2022,.
HidroC_GEN_NuevaAncud500,Hidro C,NuevaAncud500,0,13.0,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,32.5,"""Predeterminada""",2022,.
HidroC_GEN_NuevaPuertoMontt500,Hidro C,NuevaPuertoMontt500,0,14.1,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,35.25,"""Predeterminada""",2022,.
HidroC_GEN_RioMalleco500,Hidro C,RioMalleco500,0,4.7,.,0.0,50,.,0,0,1,0,0,Hidro C,.,.,.,.,.,.,.,11.75,"""Predeterminada""",2022,.
